,rank,title,author,score,vote,rating
692,629,The In-Betweener,Ann Christy,score: 100,1 person voted, 3.91 avg rating — 732 ratings
693,629,Talwan's Vengeance,Christy  Newman,score: 100,1 person voted, 4.37 avg rating — 19 ratings
694,629,"Revealing the Revolution (AIM Chronicles, #1)",N.M. Sotzek,score: 100,1 person voted, 4.25 avg rating — 12 ratings
695,629,Being Human,Christina Grant,score: 100,1 person voted, 4.67 avg rating — 24 ratings
696,629,Earth (The Invasion Trilogy #1),Jessica Frances,score: 100,1 person voted, 3.82 avg rating — 105 ratings
697,629,Dreamland Tree,Cynthia Farr-Weinfeld,score: 100,1 person voted, 4.75 avg rating — 4 ratings
698,629,"Mars on the Rise (Veetu Industries, #1)",Rae Gee,score: 100,1 person voted, 3.69 avg rating — 72 ratings
699,629,Deadly Lover,Charlee Allden,score: 100,1 person voted, 3.88 avg rating — 94 ratings
700,629,"The Ghost Files (The Ghost Files, #1)",Apryl Baker,score: 100,1 person voted," 4.14 avg rating — 7,939 ratings"
701,629,Lahkia: Heir of Darkness,Suzanne Ripley,score: 100,1 person voted, 4.38 avg rating — 13 ratings
702,629,"The Vista (The Wildblood, #1)",S.A. Hoag,score: 100,1 person voted, 4.64 avg rating — 14 ratings
703,629,Lazarus Code,Sharon VanOrman,score: 100,1 person voted, 4.54 avg rating — 13 ratings
704,629,The Stars Seem so Far Away,Margrét Helgadóttir,score: 100,1 person voted, 3.67 avg rating — 33 ratings
705,629,The Nyxers,Fémi Peters,score: 100,1 person voted,it was amazing 5.00 avg rating — 1 rating
706,629,Waterstone,Priscilla Reno,score: 100,1 person voted,really liked it 4.00 avg rating — 13 ratings
707,629,Uncommon Animals: Omnibus Edition,Kate   Whitaker,score: 100,1 person voted, 4.33 avg rating — 6 ratings
708,629,The Memory Painter,Gwendolyn Womack,score: 100,1 person voted," 3.84 avg rating — 2,863 ratings"
709,629,Above the Sky (Above the Sky #1),Jenny Lynne,score: 100,1 person voted, 4.23 avg rating — 299 ratings
710,629,"Population (Population, #1)",Elizabeth  Stephens,score: 100,1 person voted, 4.18 avg rating — 294 ratings
711,629,"The Mirror Empire (Worldbreaker Saga, #1)",Kameron Hurley,score: 100,1 person voted," 3.49 avg rating — 4,013 ratings"
712,629,Laira,Clea Saal,score: 100,1 person voted,it was amazing 5.00 avg rating — 1 rating
713,629,"The Human and the Hunted (Rise of the Great Assembly, #1)",R.A. Burg,score: 100,1 person voted, 3.67 avg rating — 3 ratings
714,629,The Right Thing Hurts,Ruby Debeau,score: 100,1 person voted, 3.50 avg rating — 14 ratings
715,629,The Toxic Children,Tessa Maurer,score: 100,1 person voted,it was amazing 5.00 avg rating — 4 ratings
716,629,The Cerulean Star: LIBERTY,Sharon Cramer,score: 100,1 person voted, 4.16 avg rating — 25 ratings
717,629,Salvage,C. Addams,score: 100,1 person voted, 0.00 avg rating — 0 ratings
718,629,"For A Brother's Honor (The Protectorit, #3)",K.L. Tharp,score: 100,1 person voted, 4.78 avg rating — 36 ratings
719,629,Passage of Destiny,Deborah L. Pearson,score: 100,1 person voted, 4.50 avg rating — 2 ratings
720,629,"Illuminae (The Illuminae Files, #1)",Amie Kaufman,score: 100,1 person voted," 4.31 avg rating — 86,873 ratings"
721,629,Off-Worlders,S.S. Delaunay,score: 100,1 person voted,it was amazing 5.00 avg rating — 1 rating
722,629,Wide Awake Asleep,Louise Wise,score: 100,1 person voted, 4.15 avg rating — 20 ratings
723,629,Leviathan's Deep,Jayge Carr,score: 100,1 person voted, 3.88 avg rating — 48 ratings
724,629,"Sand Runner (Sand Runner, #1)",Vera Brook,score: 100,1 person voted, 3.94 avg rating — 49 ratings
725,629,Le Goût de l'immortalité,Catherine Dufour,score: 100,1 person voted, 3.58 avg rating — 106 ratings
726,629,Caledonia (Caledonia #1),Amy Hoff,score: 100,1 person voted, 4.05 avg rating — 38 ratings
727,629,"The Continuum (Place in Time, #1)",Wendy Nikel,score: 100,1 person voted, 3.86 avg rating — 213 ratings
728,629,Sputnik's Children,Terri Favro,score: 100,1 person voted, 3.84 avg rating — 141 ratings
729,629,Free Beast,Suzanne Marine,score: 100,1 person voted,it was ok 2.00 avg rating — 3 ratings
730,629,"Vicious (Villains, #1)",V.E. Schwab,score: 100,1 person voted," 4.26 avg rating — 65,929 ratings"
731,629,Kingdom of Women,Rosalie Morales Kearns,score: 100,1 person voted, 4.30 avg rating — 30 ratings
732,629,After Bees,B.C. Nyren,score: 100,1 person voted, 4.09 avg rating — 67 ratings
733,629,Dawn Among the Stars,Samantha Heuwagen,score: 100,1 person voted, 4.48 avg rating — 48 ratings
734,629,The Solterian Keeper and the Enchanted Talisman,R.K. Appling,score: 100,1 person voted,it was amazing 5.00 avg rating — 4 ratings
735,629,The Rise of Saint Fox and The Independence,Corin Reyburn,score: 100,1 person voted,it was amazing 5.00 avg rating — 3 ratings
736,629,Mary Brooks:  A matter of time,Claire Rye,score: 100,1 person voted, 4.50 avg rating — 2 ratings
737,629,The Tristan Bay Accord (Tales of Fenria Book 2),Lizzie Newell,score: 100,1 person voted,it was amazing 5.00 avg rating — 2 ratings
738,629,The Antithesis: Renovatio,Terra Whiteman,score: 100,1 person voted, 4.25 avg rating — 52 ratings
739,629,"The Cairo Accord (Hadrian's Gate, Book 1)",Georgia  Knight,score: 100,1 person voted, 4.42 avg rating — 12 ratings
740,629,The Prisoner (Olrona #1),Sara Allyn,score: 100,1 person voted, 4.10 avg rating — 21 ratings
741,629,Apocalypse Five (Archive of the Fives Book 1),Stacey Rourke,score: 100,1 person voted, 4.07 avg rating — 70 ratings
742,629,Carmen Dog,Carol Emshwiller,score: 100,1 person voted, 3.52 avg rating — 219 ratings
743,629,After Annihilation: Would you want to survive?,Gauri Mittal,score: 100,1 person voted,really liked it 4.00 avg rating — 63 ratings
744,629,Elementals: Mystic Warriors,Katherine  Moore,score: 100,1 person voted, 4.78 avg rating — 36 ratings
745,629,"The Samurai's Lover (Keepers of Xereill, #4)",Alix Nichols,score: 100,1 person voted, 4.42 avg rating — 53 ratings
746,629,Träume Digitaler Schläfer,Anja Kümmel,score: 100,1 person voted,really liked it 4.00 avg rating — 7 ratings
747,629,Leaning On Water,Joan June Chen,score: 100,1 person voted, 4.03 avg rating — 35 ratings
748,749,Healing in His Wings (Healing #1),Ariel Tachna,score: 99,1 person voted, 3.66 avg rating — 339 ratings
749,749,Astra: The Reckoning,Lisa Eskra,score: 99,1 person voted, 4.29 avg rating — 41 ratings
750,749,To Indigo,Tanith Lee,score: 99,1 person voted, 3.57 avg rating — 14 ratings
751,749,Savior (Sanctuary series spin-off),Jess Anastasi,score: 99,1 person voted, 4.50 avg rating — 2 ratings
752,749,Evolve,Barbara Rayne,score: 99,1 person voted, 3.85 avg rating — 13 ratings
753,749,"Pax in the Land of Women (The Ginecean Chronicles, #2)",Monica La Porta,score: 99,1 person voted, 4.23 avg rating — 31 ratings
754,749,The Highest Frontier,Joan Slonczewski,score: 99,1 person voted, 3.43 avg rating — 416 ratings
755,749,The Earth Boy and Mr. Brown / Robots in Love,C.C. Alma,score: 99,1 person voted, 3.32 avg rating — 19 ratings
756,749,Into the Forest,Jean Hegland,score: 99,1 person voted," 3.79 avg rating — 10,039 ratings"
757,749,Limit of Vision,Linda Nagata,score: 99,1 person voted, 3.63 avg rating — 272 ratings
758,749,Silver Screen,Justina Robson,score: 99,1 person voted, 3.59 avg rating — 251 ratings
759,749,The Ophelia Prophecy,Sharon Lynn Fisher,score: 99,1 person voted, 3.42 avg rating — 306 ratings
760,749,"A Feast of Shadows (Cimmerian, #2)",Rae Lori,score: 99,1 person voted, 4.83 avg rating — 6 ratings
761,749,"Paragon (Legacy Code, #2)",Autumn Kalquist,score: 99,1 person voted, 3.81 avg rating — 542 ratings
762,749,Last Night in Ghosttown,Kathryn McKade,score: 99,1 person voted, 4.17 avg rating — 6 ratings
763,749,Netherworld (The Chronicles of Koa #1),K.N. Lee,score: 99,1 person voted, 3.78 avg rating — 466 ratings
764,749,The Amazing Wolf Boy,Roxanne Smolen,score: 99,1 person voted, 4.63 avg rating — 35 ratings
765,749,Changeling: Book Three of the Seeder Saga,Britt DeLaney,score: 99,1 person voted, 4.18 avg rating — 11 ratings
766,749,Children Of The Mist,Hywela Lyn,score: 99,1 person voted,it was amazing 5.00 avg rating — 14 ratings
767,749,Charango,Elizabeth C. Robinson,score: 99,1 person voted,it was amazing 5.00 avg rating — 3 ratings
768,749,"Earth Flight (Earth Girl, #3)",Janet  Edwards,score: 99,1 person voted," 4.27 avg rating — 1,306 ratings"
769,749,The Fifth Sacred Thing,Starhawk,score: 99,1 person voted," 4.25 avg rating — 5,277 ratings"
770,749,"Starfighter Chapter 3 (Starfighter, #3)",Hamlet Machine,score: 99,1 person voted, 4.24 avg rating — 507 ratings
771,749,Armstrong Dent and the Death Blow (A Classified Armstrong Dent Adventure - Season 1 Book 10),Aeyess,score: 99,1 person voted, 4.12 avg rating — 8 ratings
772,749,"Forever Between (Between Life and Death, #2)",Ann Christy,score: 99,1 person voted, 4.44 avg rating — 195 ratings
773,749,The Return,Christy  Newman,score: 99,1 person voted, 4.42 avg rating — 19 ratings
774,749,Roth (The Invasion Trilogy #2),Jessica Frances,score: 99,1 person voted, 4.19 avg rating — 42 ratings
775,749,Dreams of Origami,Elenor Gill,score: 99,1 person voted, 3.89 avg rating — 27 ratings
776,749,Writers Workshop of Science Fiction & Fantasy,Michael Knost,score: 99,1 person voted, 4.17 avg rating — 87 ratings
777,749,"Selling Mars (Veetu Industries, #2)",Rae Gee,score: 99,1 person voted, 4.09 avg rating — 22 ratings
778,749,Rosehead,Ksenia Anske,score: 99,1 person voted, 4.13 avg rating — 365 ratings
779,749,Homo Ex Machina,Clea Saal,score: 99,1 person voted,really liked it 4.00 avg rating — 1 rating
780,749,Ecstatic Inferno,Autumn Christian,score: 99,1 person voted, 4.64 avg rating — 55 ratings
781,749,"Red Queen (Red Queen, #1)",Victoria Aveyard,score: 99,1 person voted," 4.06 avg rating — 445,017 ratings"
782,749,Beating Heart Cadavers,Laura Giebfried,score: 99,1 person voted, 4.36 avg rating — 11 ratings
783,749,"For the Honor of Black Roses (The Protectorit, #2)",K.L. Tharp,score: 99,1 person voted, 4.41 avg rating — 64 ratings
784,749,Grasp the Stars,Jennifer Wingert,score: 99,1 person voted, 3.59 avg rating — 81 ratings
785,749,Proof of Concept,Gwyneth Jones,score: 99,1 person voted, 3.06 avg rating — 210 ratings
786,749,"No Plain Rebel (No Ordinary Star, #2)",M.C. Frank,score: 99,1 person voted, 4.27 avg rating — 129 ratings
787,749,When the Earth Had a Moon (Part 1),A.M. Cunning,score: 99,1 person voted, 3.60 avg rating — 35 ratings
788,749,Touch,Claire North,score: 99,1 person voted," 3.80 avg rating — 8,688 ratings"
789,749,Crypto,B.C. Nyren,score: 99,1 person voted, 3.82 avg rating — 17 ratings
790,749,WYRFORRA,McKenna Miller,score: 99,1 person voted, 4.55 avg rating — 11 ratings
791,749,The Fisherman and the Gene Thief,Lizzie Newell,score: 99,1 person voted,it was amazing 5.00 avg rating — 1 rating
792,749,All the Birds in the Sky,Charlie Jane Anders,score: 99,1 person voted," 3.58 avg rating — 31,336 ratings"
793,749,Larque on the Wing,Nancy Springer,score: 99,1 person voted, 3.77 avg rating — 116 ratings
794,749,The Slynx,Tatyana Tolstaya,score: 99,1 person voted," 3.81 avg rating — 3,328 ratings"
795,796,"The Reavers of Skaith  (The Book of Skaith, #3)",Leigh Brackett,score: 98,1 person voted, 3.71 avg rating — 237 ratings
796,796,Hot Cargo (Healing #2),Nicki Bennett,score: 98,1 person voted, 3.59 avg rating — 366 ratings
797,796,Astra: Synchronicity,Lisa Eskra,score: 98,1 person voted, 3.35 avg rating — 162 ratings
798,796,Severance (Sanctuary Series #2),Jess Anastasi,score: 98,1 person voted,it was amazing 5.00 avg rating — 5 ratings
799,796,"Starpilot's Grave (Mageworlds, #2)",Debra Doyle,score: 98,2 people voted, 4.05 avg rating — 699 ratings
800,796,"Delirium (Debt Collector,  #1)",Susan Kaye Quinn,score: 98,1 person voted, 3.88 avg rating — 582 ratings
801,796,"iD (The Machine Dynasty, #2)",Madeline Ashby,score: 98,1 person voted, 3.64 avg rating — 587 ratings
802,796,"Tech-Heaven (The Nanotech Succession, #0)",Linda Nagata,score: 98,1 person voted, 3.63 avg rating — 240 ratings
803,796,Cold Warriors,Clare Dargin,score: 98,1 person voted, 3.24 avg rating — 46 ratings
804,796,"An Officer's Duty (Theirs Not to Reason Why, #2)",Jean Johnson,score: 98,2 people voted," 4.13 avg rating — 3,100 ratings"
805,796,Heritage Of The Star,Sylvia Engdahl,score: 98,1 person voted, 4.07 avg rating — 296 ratings
806,796,Sky Woman: Book One of the Seeder Saga,Britt DeLaney,score: 98,1 person voted, 3.90 avg rating — 30 ratings
807,796,"Son of Avonar (The Bridge of D'Arnath, #1)",Carol Berg,score: 98,1 person voted," 3.77 avg rating — 2,951 ratings"
808,796,"Earth Star (Earth Girl, #2)",Janet  Edwards,score: 98,1 person voted," 4.10 avg rating — 1,833 ratings"
809,796,"Slated (Slated, #1)",Teri Terry,score: 98,1 person voted," 4.07 avg rating — 23,124 ratings"
810,796,"Beast, Part One (Beast, #1)",Ella James,score: 98,1 person voted," 3.65 avg rating — 3,534 ratings"
811,796,Shkarr,She S. Rutan,score: 98,1 person voted, 4.40 avg rating — 15 ratings
812,796,Armstrong Dent and the Guerrilla Revolucion (A Classified Armstrong Dent Tale - Season 1 Book 3),Aeyess,score: 98,1 person voted,really liked it 4.00 avg rating — 11 ratings
813,796,Yankari: A Talking Earth Tale,Ann Christy,score: 98,1 person voted, 4.66 avg rating — 32 ratings
814,796,Lost Whispers,Samantha D. Meshla,score: 98,1 person voted, 4.69 avg rating — 16 ratings
815,796,Oden (The Invasion Trilogy #3),Jessica Frances,score: 98,1 person voted, 4.21 avg rating — 34 ratings
816,796,Miriam's Talisman,Elenor Gill,score: 98,1 person voted, 3.42 avg rating — 59 ratings
817,796,"The Eve of War (Veetu Industries, #3)",Rae Gee,score: 98,1 person voted, 4.50 avg rating — 6 ratings
818,796,The Lottery and Other Stories,Shirley Jackson,score: 98,1 person voted," 4.06 avg rating — 58,009 ratings"
819,796,"Dragonsdawn (Pern, #9)",Anne McCaffrey,score: 98,1 person voted," 4.20 avg rating — 32,040 ratings"
820,796,Dogsbody,Diana Wynne Jones,score: 98,1 person voted," 4.08 avg rating — 5,926 ratings"
821,796,"The Protectorit (The Protectorit, #1)",K.L. Tharp,score: 98,1 person voted, 4.28 avg rating — 99 ratings
822,796,Heartless,Marissa Meyer,score: 98,1 person voted," 4.06 avg rating — 67,071 ratings"
823,796,"No Vain Loss (No Ordinary Star, #3)",M.C. Frank,score: 98,1 person voted,really liked it 4.00 avg rating — 82 ratings
824,796,"The Inheritance Trilogy (Inheritance, #1-3.5)",N.K. Jemisin,score: 98,1 person voted," 4.21 avg rating — 4,354 ratings"
825,796,The Phoenix Code,Catherine Asaro,score: 98,1 person voted, 3.47 avg rating — 340 ratings
826,796,Fever Rising,K.M. Riley,score: 98,1 person voted,really liked it 4.00 avg rating — 21 ratings
827,796,The Fisherman and the Sperm Thief,Lizzie Newell,score: 98,1 person voted, 3.67 avg rating — 6 ratings
828,796,"Love's Body, Dancing In Time",L. Timmel Duchamp,score: 98,1 person voted, 3.83 avg rating — 35 ratings
829,830,The Light of the Earth As Seen from Tartarus,Annie Bellet,score: 97,1 person voted, 3.88 avg rating — 33 ratings
830,830,Something About Harry (Healing #3),Nicki Bennett,score: 97,1 person voted, 3.45 avg rating — 153 ratings
831,830,"Sanctuary (Sanctuary Series, #1)",Jess Anastasi,score: 97,1 person voted, 4.21 avg rating — 14 ratings
832,830,When the Silence Ends,Jade Kerrion,score: 97,1 person voted, 4.41 avg rating — 51 ratings
833,830,Arkfall,Carolyn Ives Gilman,score: 97,1 person voted, 3.73 avg rating — 140 ratings
834,830,Stealing the Elf-King's Roses,Diane Duane,score: 97,1 person voted, 3.63 avg rating — 475 ratings
835,830,Of Wind and Sand,Sylvie Bérard,score: 97,1 person voted, 3.83 avg rating — 47 ratings
836,830,"Megan’s Double Miracle (Men of Space Station One, #9)",Marla Monroe,score: 97,1 person voted, 4.09 avg rating — 85 ratings
837,830,Rain In The Moonlight: Book Two of the Seeder Saga,Britt DeLaney,score: 97,1 person voted, 4.27 avg rating — 11 ratings
838,830,"Earth 2788 (Earth Girl, #0.25)",Janet  Edwards,score: 97,1 person voted, 4.16 avg rating — 198 ratings
839,830,"Real (Real, #1)",Katy Evans,score: 97,1 person voted," 4.20 avg rating — 95,522 ratings"
840,830,The Violet and the Tom,Eve Ocotillo,score: 97,1 person voted," 3.83 avg rating — 2,470 ratings"
841,830,Armstrong Dent and the Death of the Sun (A Classified Armstrong Dent Tale - Season 1 Book 2),Aeyess,score: 97,1 person voted, 3.50 avg rating — 12 ratings
842,830,Strikers (Strikers #1),Ann Christy,score: 97,1 person voted, 4.01 avg rating — 324 ratings
843,830,"Descent (Forgotten Origins Trilogy, #3)",Tara Ellis,score: 97,1 person voted, 4.37 avg rating — 76 ratings
844,830,"Rift in the Sky (Stratification, #3)",Julie E. Czerneda,score: 97,1 person voted, 4.13 avg rating — 502 ratings
845,830,Looking for a Hero,Joy Nash,score: 97,1 person voted,liked it 3.00 avg rating — 2 ratings
846,830,Lightless (Lightless #1),C.A. Higgins,score: 97,1 person voted," 3.47 avg rating — 2,313 ratings"
847,830,Sappho's Agency,Lizzie Newell,score: 97,1 person voted, 4.25 avg rating — 4 ratings
848,830,"Outbreak (Dr. Marissa Blumenthal, #1)",Robin Cook,score: 97,1 person voted," 3.98 avg rating — 52,654 ratings"
849,850,The Spacer's Blade and Other Stories,Annie Bellet,score: 96,1 person voted, 4.56 avg rating — 9 ratings
850,850,Points of Departure,Pat Murphy,score: 96,1 person voted, 3.84 avg rating — 115 ratings
851,850,The Switch II: Clockwork,Valjeanne Jeffers,score: 96,1 person voted, 4.52 avg rating — 21 ratings
852,850,"By Honor Betray'd (Mageworlds, Book 3)",Debra Doyle,score: 96,2 people voted, 4.09 avg rating — 567 ratings
853,850,"Earthseed (Seed, #1)",Pamela Sargent,score: 96,1 person voted, 3.56 avg rating — 654 ratings
854,850,A Legacy of Stars,Danielle Ackley-McPhail,score: 96,1 person voted, 4.50 avg rating — 14 ratings
855,850,"The Temple at Landfall (Celaeno, #3)",Jane Fletcher,score: 96,1 person voted, 4.06 avg rating — 698 ratings
856,850,"Deception Well (The Nanotech Succession, #2)",Linda Nagata,score: 96,1 person voted, 3.77 avg rating — 327 ratings
857,850,"Making Them Happy (The Men of Space Station One, #8)",Marla Monroe,score: 96,1 person voted, 4.03 avg rating — 88 ratings
858,850,Night's Daughter,Marion Zimmer Bradley,score: 96,1 person voted, 3.51 avg rating — 469 ratings
859,850,When The Stars Walk Backwards,Kristine Williams,score: 96,1 person voted, 4.11 avg rating — 19 ratings
860,850,"This Girl (Slammed, #3)",Colleen Hoover,score: 96,1 person voted," 4.16 avg rating — 67,219 ratings"
861,850,Die Klangweberin,Sarah Ash,score: 96,1 person voted, 3.73 avg rating — 44 ratings
862,850,Armstrong Dent and the Thousand Year Death (A Classified Armstrong Dent Thriller - Season 1 Book 8),Aeyess,score: 96,1 person voted, 3.83 avg rating — 12 ratings
863,850,"Flying Season for the Mis-Recorded (Silo 49, #4)",Ann Christy,score: 96,1 person voted, 4.18 avg rating — 366 ratings
864,850,"Never Fade (The Darkest Minds, #2)",Alexandra Bracken,score: 96,1 person voted," 4.29 avg rating — 66,804 ratings"
865,850,"The Transfer (Divergent, #0.1)",Veronica Roth,score: 96,1 person voted," 4.18 avg rating — 49,713 ratings"
866,850,"The Heart of Valor (Confederation, #3)",Tanya Huff,score: 96,2 people voted," 4.07 avg rating — 4,738 ratings"
867,850,Andra,Louise Lawrence,score: 96,1 person voted, 3.87 avg rating — 121 ratings
868,850,Lives of the Monster Dogs,Kirsten Bakis,score: 96,1 person voted," 3.66 avg rating — 2,221 ratings"
869,850,Company Town,Madeline Ashby,score: 96,1 person voted," 3.54 avg rating — 4,233 ratings"
870,850,The Marrow Thieves,Cherie Dimaline,score: 96,1 person voted," 4.08 avg rating — 7,259 ratings"
871,850,"Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,score: 96,1 person voted," 3.93 avg rating — 29,617 ratings"
872,850,Behind the Throne (The Indranan War #1),K.B. Wagers,score: 96,1 person voted," 3.85 avg rating — 2,505 ratings"
873,850,Peking falten,Hao Jingfang,score: 96,1 person voted, 3.76 avg rating — 172 ratings
874,875,Grandmere's Secret,Valjeanne Jeffers,score: 95,1 person voted, 4.50 avg rating — 18 ratings
875,875,Grazing the Long Acre,Gwyneth Jones,score: 95,1 person voted, 3.75 avg rating — 12 ratings
876,875,After the Fall,Robin Summers,score: 95,1 person voted, 3.60 avg rating — 230 ratings
877,875,The Tale of the Five: The Sword and the Dragon,Diane Duane,score: 95,1 person voted, 4.13 avg rating — 71 ratings
878,875,Memory,Linda Nagata,score: 95,1 person voted, 3.79 avg rating — 381 ratings
879,875,"Winning Colors (The Serrano Legacy, #3)",Elizabeth Moon,score: 95,3 people voted," 3.92 avg rating — 2,990 ratings"
880,875,Free Amazons of Darkover (Darkover Series),Marion Zimmer Bradley,score: 95,1 person voted," 3.95 avg rating — 1,279 ratings"
881,875,"Two Men for Piper (The Men of Space Station One, #7)",Marla Monroe,score: 95,1 person voted, 4.06 avg rating — 97 ratings
882,875,"Contract of Betrayal (Spectras Arise Trilogy, #2)",Tammy Salyer,score: 95,1 person voted, 3.77 avg rating — 90 ratings
883,875,The Shining Girls,Lauren Beukes,score: 95,1 person voted," 3.50 avg rating — 35,866 ratings"
884,875,The Invisible Guardian (Baztán #1),Dolores Redondo,score: 95,1 person voted," 3.80 avg rating — 8,784 ratings"
885,875,"Wait for You (Wait for You, #1)",J. Lynn,score: 95,1 person voted," 4.18 avg rating — 126,001 ratings"
886,875,"Starters (Starters, #1)",Lissa Price,score: 95,1 person voted," 3.90 avg rating — 38,855 ratings"
887,875,Armstrong Dent and the Ring of the Lords (A Classified Armstrong Dent Thriller - Season 1 Book 6),Aeyess,score: 95,1 person voted, 3.73 avg rating — 15 ratings
888,875,"Dark Till Dawn (Silo 49, #3)",Ann Christy,score: 95,1 person voted, 4.18 avg rating — 634 ratings
889,875,"Raging Star (Dust Lands, #3)",Moira Young,score: 95,1 person voted," 3.80 avg rating — 7,743 ratings"
890,875,"The Son (Divergent, #0.3)",Veronica Roth,score: 95,1 person voted," 4.09 avg rating — 16,437 ratings"
891,875,Quest for Earth,S.E. Gilchrist,score: 95,1 person voted, 2.73 avg rating — 11 ratings
892,875,"The Abyss Surrounds Us (The Abyss Surrounds Us, #1)",Emily Skrutskie,score: 95,1 person voted," 3.96 avg rating — 3,983 ratings"
893,875,"After the Crown (The Indranan War, #2)",K.B. Wagers,score: 95,1 person voted," 4.06 avg rating — 1,392 ratings"
894,875,The Birthday of the World and Other Stories,Ursula K. Le Guin,score: 95,1 person voted," 4.29 avg rating — 3,710 ratings"
895,875,Sweet Child of Time: Episode Seven of The Chronicles of the Harekaiian,Shanna Lauffey,score: 95,1 person voted,it was amazing 5.00 avg rating — 1 rating
896,897,"The Chronicles of Mavin Manyshaped (The Chronicles of Mavin Manyshaped, #1-3)",Sheri S. Tepper,score: 94,1 person voted, 4.23 avg rating — 313 ratings
897,897,Wind Follower,Carole  McDonnell,score: 94,1 person voted, 3.77 avg rating — 74 ratings
898,897,"The Time of Legend (Immortal, #2)",Valjeanne Jeffers,score: 94,1 person voted, 4.40 avg rating — 42 ratings
899,897,"Omnitopia Dawn (Omnitopia, #1)",Diane Duane,score: 94,1 person voted, 3.74 avg rating — 824 ratings
900,897,"Elfhome (Elfhome, #3)",Wen Spencer,score: 94,3 people voted," 4.30 avg rating — 2,402 ratings"
901,897,"A Soldier's Duty (Theirs Not to Reason Why, #1)",Jean Johnson,score: 94,2 people voted," 3.98 avg rating — 4,199 ratings"
902,897,"Contract of Defiance (Spectras Arise Trilogy, #1)",Tammy Salyer,score: 94,1 person voted, 3.83 avg rating — 202 ratings
903,897,"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,score: 94,1 person voted," 3.98 avg rating — 51,352 ratings"
904,897,"Walking Disaster (Beautiful, #2)",Jamie McGuire,score: 94,1 person voted," 4.22 avg rating — 155,728 ratings"
905,897,Armstrong Dent and the Temple of Solomon (A Classified Armstrong Dent Thriller - Season 1 Book 7),Aeyess,score: 94,1 person voted, 3.90 avg rating — 20 ratings
906,897,"Deep Dark (Silo 49, #2)",Ann Christy,score: 94,1 person voted, 4.04 avg rating — 919 ratings
907,897,"Rebel Heart (Dust Lands, #2)",Moira Young,score: 94,1 person voted," 3.88 avg rating — 18,775 ratings"
908,897,"Aspho Fields (Gears of War, #1)",Karen Traviss,score: 94,1 person voted," 4.10 avg rating — 3,083 ratings"
909,897,Falling in Love with Hominids,Nalo Hopkinson,score: 94,1 person voted, 3.98 avg rating — 745 ratings
910,897,"The Elite (The Selection, #2)",Kiera Cass,score: 94,1 person voted," 4.02 avg rating — 339,818 ratings"
911,897,"The Traitor (Divergent, #0.4)",Veronica Roth,score: 94,1 person voted," 4.17 avg rating — 16,602 ratings"
912,897,Shades of Treason (Anomaly #1),Sandy Williams,score: 94,1 person voted, 3.72 avg rating — 661 ratings
913,897,Sight (The Delta Girls #1),Juliet Madison,score: 94,1 person voted, 3.79 avg rating — 92 ratings
914,897,"The Edge of the Abyss (The Abyss Surrounds Us, #2)",Emily Skrutskie,score: 94,1 person voted," 4.16 avg rating — 1,444 ratings"
915,897,The Color of Distance,Amy Thomson,score: 94,1 person voted, 4.26 avg rating — 715 ratings
916,897,"Passenger (Passenger, #1)",Alexandra Bracken,score: 94,1 person voted," 3.80 avg rating — 32,327 ratings"
917,918,"The End of the Game (The End of the Game, #1-3)",Sheri S. Tepper,score: 93,1 person voted, 4.29 avg rating — 164 ratings
918,918,Deep Black Beyond,Annie Bellet,score: 93,1 person voted, 4.25 avg rating — 12 ratings
919,918,"Being Alien (Saga of Tom Red-Clay, #2)",Rebecca Ore,score: 93,1 person voted, 3.76 avg rating — 100 ratings
920,918,"Awake (Asleep, #2)",Wendy Raven McNair,score: 93,1 person voted, 4.54 avg rating — 28 ratings
921,918,One for Kami,Charlene A. Wilson,score: 93,2 people voted, 3.97 avg rating — 30 ratings
922,918,Weatherman,Lois McMaster Bujold,score: 93,3 people voted," 4.22 avg rating — 1,305 ratings"
923,918,Goodbye for Now,Laurie Frankel,score: 93,1 person voted," 3.58 avg rating — 3,479 ratings"
924,918,"Contract of War (Spectras Arise Trilogy, #3)",Tammy Salyer,score: 93,1 person voted, 3.98 avg rating — 64 ratings
925,918,"Entwined with You (Crossfire, #3)",Sylvia Day,score: 93,1 person voted," 4.19 avg rating — 168,178 ratings"
926,918,Armstrong Dent and the Kickapoo Borderland Band (A Classified Armstrong Dent Thriller - Season 1 Book 9),Aeyess,score: 93,1 person voted, 3.79 avg rating — 14 ratings
927,918,"Going Dark (Silo 49, #1)",Ann Christy,score: 93,1 person voted," 3.86 avg rating — 2,072 ratings"
928,918,"The One (The Selection, #3)",Kiera Cass,score: 93,1 person voted," 4.20 avg rating — 303,309 ratings"
929,918,"The Initiate (Divergent, #0.2)",Veronica Roth,score: 93,1 person voted," 4.19 avg rating — 22,254 ratings"
930,918,Shoggoths in Bloom and Other Stories,Elizabeth Bear,score: 93,1 person voted, 4.04 avg rating — 406 ratings
931,918,The End of This Day's Business,Katharine Burdekin,score: 93,1 person voted, 3.89 avg rating — 28 ratings
932,918,Mine Tomorrow,Jackie Braun,score: 93,1 person voted, 3.30 avg rating — 20 ratings
