,title,series,number_in_series,score,vote,number_of_ratings
1360,Dinosaur Planet Survivors,Dinosaur Planet,2,12,1 person voted,"2,713"
1361,Farseed,Seed,2,12,1 person voted,160
1362,Drinking Sapphire Wine,Four-BEE,2,12,1 person voted,544
1363,Body Electric,-,-,11,1 person voted,149
1364,Generation Warriors,Planet Pirates,3,11,1 person voted,"3,334"
1365,Starjacked,-,-,10,1 person voted,62
1366,Alien Abduction,Beastmen of Ator,1,10,1 person voted,233
1367,Zazen,-,-,8,1 person voted,"1,223"
1368,When Minds Collide,Phoenician ,0.1,7,1 person voted,27
1369,Synthetic Dreams,-,-,6,1 person voted,63
1370,Lifegame,-,-,6,1 person voted,66
1371,Alien Seduction,Ailunnean Shapeshifter, 2,5,1 person voted,4
1372,Fire & Frost,-,-,5,1 person voted,877
1373,The Inheritance,-,-,5,1 person voted,"3,198"
1374,Children of the Dust,-,-,5,1 person voted,"1,613"
1375,The Sex Gates,Sex Gates,1,4,1 person voted,106
1376,Mizora: A Prophecy,-,-,4,1 person voted,88
1377,Northwest of Earth: The Complete Northwest Smith,-,-,4,1 person voted,250
1378,Tiger of Talmare,Frontiers of Love,1,3,1 person voted,398
1379,Girl Gone Nova,Project Enterprise,2,3,1 person voted,170
1380,Black on Black,Heyoka Blackeagle,1,3,1 person voted,423
1381,Blue Nebula,-,-,2,1 person voted,13
1382,Stars Over Stars,Heyoka Blackeagle,2,2,1 person voted,297
1383,Heart of Steel,Iron Seas,2,1,1 person voted,"5,447"
1384,The Imperium Game,-,-,1,1 person voted,35
